Date,News,
2015-08-10,"Longer time off for U.S. parents welcome, but bosses must lead the way",
2015-08-10,"Rackspace raises buyback to up to $1 billion, shares jump",
2015-08-10,"Adobe joins tech industry push in raising maternity, parental leave",
2015-08-10,Back to the future: Nokia prepares for mobile comeback,
2015-08-11,Symantec’s Veritas sale tells truth about tech M&A,
2015-08-13,Why Google — and Larry Page — created their own Alphabet,
2015-08-14,Exclusive: Russian antivirus firm faked malware to harm rivals: Ex-employees,
2015-08-19,'Groundbreaking' family-leave changes at @netflix and @Microsoft point to a larger problem http://bloom.bg/1J43Egp pic.twitter.com/wd9MFrSDl7,
2015-08-20,Salesforce raises full-year revenue forecast again,
2015-08-21,Microsoft confirms Finnish phone site closure and job cuts,
